,movie_title,release_date,genre,MPAA_rating,director,year,month,day,animated,revenue
56,An Innocent Man,10/6/1989,Drama,R,Peter Yates,1989,10,6,NO,"$40,983,414 "
57,Summer of Sam,7/2/1999,Drama,R,Spike Lee,1999,7,2,NO,"$32,007,656 "
58,The Good Dinosaur,11/25/2015,Adventure,PG,Peter Sohn,2015,11,25,NO,"$123,087,120 "
59,Angels in the Outfield,7/15/1994,Comedy,PG,William Dear,1994,7,15,NO,"$103,798,152 "
60,Tough Guys,10/3/1986,Comedy,PG,Jeff Kanew,1986,10,3,NO,"$48,758,184 "
61,Something Wicked This Way Comes,4/29/1983,Horror,PG,Jack Clayton,1983,4,29,NO,"$15,136,765 "
62,The Rocketeer,6/21/1991,Action,PG,Joe Johnston,1991,6,21,NO,"$93,256,673 "
63,Stakeout,8/5/1987,Comedy,R,John Badham,1987,8,5,YES,"$141,592,160 "
64,National Treasure 2: Book of Secrets,12/21/2007,Adventure,PG,Jon Turteltaub,2007,12,21,NO,"$267,003,525 "
65,Terminal Velocity,9/23/1994,Action,PG-13,Deran Sarafian,1994,9,23,NO,"$34,048,315 "
66,Apocalypto,12/8/2006,Adventure,R,Mel Gibson,2006,12,8,NO,"$64,959,548 "
67,Invincible,8/25/2006,Drama,PG,NO_DIRECTOR,2006,8,25,NO,"$74,398,864 "
68,25th Hour,12/19/2002,Drama,R,Spike Lee,2002,12,19,NO,"$18,325,463 "
69,Mighty Joe Young,12/25/1998,Adventure,PG,Ron Underwood,1998,12,25,NO,"$87,906,042 "
70,Deceived,9/27/1991,Thriller/Suspense,PG-13,NO_DIRECTOR,1991,9,27,NO,"$57,544,453 "
71,Never Cry Wolf,10/7/1983,Drama,PG,Carroll Ballard,1983,10,7,NO,"$70,669,955 "
72,G-Force,7/24/2009,Adventure,PG,Hoyt Yeatman,2009,7,24,NO,"$134,246,932 "
73,Feast of July,10/13/1995,Drama,R,Christopher Menaul,1995,10,13,NO,"$568,342 "
74,The Lookout,3/30/2007,Drama,R,Scott Frank,2007,3,30,NO,"$5,637,048 "
75,Cool Runnings,10/1/1993,Comedy,PG,Jon Turteltaub,1993,10,1,NO,"$140,392,731 "
76,Alice Through the Looking Glass,5/27/2016,Adventure,PG,James Bobin,2016,5,27,NO,"$77,042,381 "
77,The Devil and Max Devlin,1/1/1981,Fantasy,PG,Steven Hilliard Stern,1981,1,1,NO,"$48,517,980 "
78,The Chronicles of Narnia: Prince Caspian,5/16/2008,Adventure,PG,Andrew Adamson,2008,5,16,NO,"$166,277,038 "
79,The Insider,11/5/1999,Drama,R,Michael Mann,1999,11,5,YES,"$47,794,214 "
80,Camp Nowhere,8/26/1994,Comedy,PG,Jonathan Prince,1994,8,26,NO,"$21,576,332 "
81,The Rock,6/7/1996,Action,R,Michael Bay,1996,6,7,NO,"$255,702,705 "
82,Green Card,12/25/1990,Romantic Comedy,PG-13,Peter Weir,1990,12,25,NO,"$59,679,131 "
83,Real Steel,10/7/2011,Action,PG-13,Shawn Levy,2011,10,7,NO,"$90,848,019 "
84,A Kid in King Arthur's Court,8/11/1995,Adventure,PG,Michael Gottlieb,1995,8,11,NO,"$25,981,285 "
85,The Last Flight of Noah’s Ark,6/25/1980,Adventure,G,Charles Jarrott,1980,6,25,NO,"$34,472,116 "
86,African Cats,4/22/2011,Documentary,G,Alastair Fothergill,2011,4,22,YES,"$16,401,551 "
87,Toy Story 3D Double Feature,10/2/2009,Adventure,G,NO_DIRECTOR,2009,10,2,NO,"$34,509,545 "
88,Into the Woods,12/25/2014,Musical,PG,Rob Marshall,2014,12,25,NO,"$130,894,237 "
89,Finding Nemo,5/30/2003,Adventure,G,Andrew Stanton,2003,5,30,NO,"$518,148,559 "
90,The Good Mother,11/4/1988,Drama,R,Steve Antin,1988,11,4,NO,"$9,772,655 "
91,The Hundred-Foot Journey,8/8/2014,Romantic Comedy,PG,Lasse Hallström,2014,8,8,NO,"$55,961,409 "
92,Pearl Harbor,5/25/2001,Action,PG-13,Michael Bay,2001,5,25,NO,"$295,705,112 "
93,Pirates of the Caribbean: At World’…,5/24/2007,Adventure,PG-13,Gore Verbinski,2007,5,24,NO,"$379,129,960 "
94,Color of Night,8/19/1994,Thriller/Suspense,R,Richard Rush,1994,8,19,NO,"$40,804,816 "
95,Romy and Michele's High School Reunion,4/25/1997,Comedy,R,David Mirkin,1997,4,25,NO,"$53,693,680 "
96,Cheetah,8/18/1989,Adventure,UNKNOWN,NO_DIRECTOR,1989,8,18,NO,"$16,653,473 "
97,Jack,8/9/1996,Drama,PG-13,NO_DIRECTOR,1996,8,9,NO,"$111,792,852 "
98,Monsters University,6/21/2013,Adventure,G,Dan Scanlon,2013,6,21,YES,"$278,395,641 "
99,The Fifth Estate,10/18/2013,Drama,R,Bill Condon,2013,10,18,NO,"$3,374,251 "
100,Before and After,2/23/1996,Drama,PG-13,Barbet Schroeder,1996,2,23,YES,"$16,482,589 "
101,Moonlight Mile,9/27/2002,Drama,PG-13,Brad Silberling,2002,9,27,NO,"$9,909,094 "
102,A Stranger Among Us,7/17/1992,Drama,PG-13,Sidney Lumet,1992,7,17,NO,"$24,950,752 "
103,The Lizzie McGuire Movie,5/2/2003,Comedy,PG,Jim Fall,2003,5,2,NO,"$59,743,191 "
104,Krippendorf's Tribe,2/27/1998,Comedy,PG-13,Todd Holland,1998,2,27,NO,"$13,608,633 "
105,crazy/beautiful,6/29/2001,Drama,PG-13,NO_DIRECTOR,2001,6,29,YES,"$25,214,223 "
106,Adventures in Babysitting,7/3/1987,Comedy,PG-13,John Schultz,1987,7,3,NO,"$72,853,569 "
107,The Game Plan,9/22/2007,Comedy,PG,Andy Fickman,2007,9,22,NO,"$111,010,758 "
108,Splash,3/9/1984,Comedy,PG,Ron Howard,1984,3,9,NO,"$157,057,661 "
109,Who Framed Roger Rabbit?,6/22/1988,Comedy,PG,NO_DIRECTOR,1988,6,22,NO,"$316,250,084 "
110,The Light Between Oceans,9/2/2016,Drama,PG-13,Derek Cianfrance,2016,9,2,NO,"$12,545,979 "
111,The Guardian,9/29/2006,Action,PG-13,Andrew Davis,2006,9,29,NO,"$70,801,353 "
112,The Sword in the Stone,12/25/2063,Adventure,G,Wolfgang Reitherman,1963,12,25,NO,"$153,870,834 "
113,Mr. Holland's Opus,12/29/1995,Drama,PG,Stephen Herek,1995,12,29,NO,"$157,508,868 "
114,The Rescuers Down Under,11/16/1990,Adventure,G,Mike Gabriel,1990,11,16,NO,"$55,796,728 "
115,The Preacher's Wife,12/13/1996,Drama,PG,Penny Marshall,1996,12,13,NO,"$91,076,877 "
116,Sarafina!,9/18/1992,Drama,PG-13,Darrell James Roodt,1992,9,18,NO,"$14,841,352 "
117,Trenchcoat,3/11/1983,Comedy,PG,Michael Tuchner,1983,3,11,NO,"$11,519,089 "
118,Confessions of a Teenage Drama Queen,2/20/2004,Comedy,PG,Sara Sugarman,2004,2,20,NO,"$39,816,568 "
119,Around the World in 80 Days,6/16/2004,Adventure,PG,NO_DIRECTOR,2004,6,16,NO,"$32,585,356 "
120,Blaze,12/13/1989,Drama,R,NO_DIRECTOR,1989,12,13,YES,"$39,884,640 "
121,Toy Story,11/22/1995,Adventure,G,John Lasseter,1995,11,22,NO,"$370,409,631 "
122,Prince of Persia: Sands of Time,5/28/2010,Action,PG-13,NO_DIRECTOR,2010,5,28,NO,"$96,971,361 "
123,Eddie,5/31/1996,Comedy,PG-13,NO_DIRECTOR,1996,5,31,NO,"$59,828,966 "
124,White Fang 2: Myth of the White Wolf,4/15/1994,Adventure,PG,Ken Olin,1994,4,15,NO,"$18,083,994 "
125,White Squall,2/2/1996,Adventure,PG-13,Ridley Scott,1996,2,2,NO,"$19,509,726 "
