,movie_title,release_date,genre,MPAA_rating,director,year,month,day,animated,revenue
252,Stick It,4/28/2006,Comedy,PG-13,Jessica Bendinger,2006,4,28,NO,"$34,634,731 "
253,Funny Bones,3/31/1995,Comedy,R,Peter Chelsom,1995,3,31,YES,"$1,025,425 "
254,Cars,6/9/2006,Comedy,G,John Lasseter,2006,6,9,NO,"$314,140,384 "
255,Bicentennial Man,12/17/1999,Drama,PG,Chris Columbus,1999,12,17,YES,"$94,838,225 "
256,Chimpanzee,4/20/2012,Documentary,G,Alastair Fothergill,2012,4,20,NO,"$30,675,725 "
257,The Apple Dumpling Gang,7/1/1975,Comedy,G,Norman Tokar,1975,7,1,NO,"$131,246,872 "
258,The Other Sister,2/26/1999,Romantic Comedy,PG-13,Garry Marshall,1999,2,26,NO,"$46,145,331 "
259,A Simple Twist of Fate,9/2/1994,Drama,PG-13,Gillies MacKinnon,1994,9,2,NO,"$7,035,189 "
260,Where the Heart Is,2/23/1990,Comedy,UNKNOWN,NO_DIRECTOR,1990,2,23,NO,"$2,210,321 "
261,Kaze Tachinu,11/8/2013,Drama,PG-13,Mitsuo Wakasugi,2013,11,8,NO,"$5,367,415 "
262,Off Beat,4/11/1986,Comedy,PG,Michael Dinner,1986,4,11,NO,"$11,003,932 "
263,The Greatest Game Ever Played,9/30/2005,Drama,PG,Bill Paxton,2005,9,30,NO,"$20,162,672 "
264,The Three Musketeers,11/12/1993,Adventure,PG,NO_DIRECTOR,1993,11,12,NO,"$109,310,377 "
265,A Civil Action,12/25/1998,Drama,PG-13,Steven Zaillian,1998,12,25,NO,"$94,139,530 "
266,Walt and El Grupo,9/10/2009,Documentary,PG,Theodore Thomas,2009,9,10,NO,"$23,064 "
267,Powder,10/27/1995,Drama,PG-13,Victor Salva,1995,10,27,NO,"$59,727,216 "
268,1492: Conquest of Paradise,10/9/1992,Adventure,PG-13,Ridley Scott,1992,10,9,NO,"$14,421,454 "
269,The Cemetery Club,2/3/1993,Comedy,PG-13,Bill Duke,1993,2,3,NO,"$11,369,541 "
270,Stay Alive,3/24/2006,Horror,PG-13,William Brent Bell,2006,3,24,NO,"$29,712,825 "
271,That Darn Cat,2/14/1997,Comedy,PG,NO_DIRECTOR,1997,2,14,NO,"$33,613,158 "
272,The Muppet Christmas Carol,12/11/1992,Comedy,G,Brian Henson,1992,12,11,YES,"$55,417,615 "
273,Step Up 2 the Streets,2/14/2008,Drama,PG-13,Jon M. Chu,2008,2,14,YES,"$68,118,371 "
274,Fantasia 2000 (Theatrical Release),6/16/2000,Musical,G,NO_DIRECTOR,2000,6,16,NO,"$14,238,144 "
275,The Santa Clause 2,11/1/2002,Comedy,G,Michael Lembeck,2002,11,1,YES,"$201,959,095 "
276,The Recruit,1/31/2003,Thriller/Suspense,PG-13,Roger Donaldson,2003,1,31,NO,"$73,793,522 "
277,Money for Nothing,9/10/1993,Comedy,R,Ramón Menéndez,1993,9,10,NO,"$2,127,496 "
278,Bad Company,1/20/1995,Thriller/Suspense,R,NO_DIRECTOR,1995,1,20,NO,"$6,829,092 "
279,I Love Trouble,6/29/1994,Romantic Comedy,PG,Charles Shyer,1994,6,29,YES,"$63,651,027 "
280,The Absent Minded Professor,3/16/2061,Comedy,G,Robert Stevenson,1961,3,16,NO,"$310,094,574 "
281,Jungle 2 Jungle,3/7/1997,Comedy,PG,John Pasquin,1997,3,7,NO,"$110,058,379 "
282,Tex,11/19/1982,Drama,UNKNOWN,NO_DIRECTOR,1982,11,19,NO,"$20,643,199 "
283,Life With Mikey,6/4/1993,Comedy,PG,James Lapine,1993,6,4,NO,"$25,146,538 "
284,Gone Fishin',5/30/1997,Comedy,PG,Riley Cairns,1997,5,30,NO,"$36,265,379 "
285,Rogue One: A Star Wars Story,12/16/2016,Adventure,PG-13,Gareth Edwards,2016,12,16,NO,"$529,483,936 "
286,The Marrying Man,4/5/1991,Romantic Comedy,R,Jerry Rees,1991,4,5,NO,"$24,939,118 "
287,Bubble Boy,8/24/2001,Comedy,PG-13,Blair Hayes,2001,8,24,YES,"$7,450,434 "
288,Baby: Secret of the Lost Legend,3/22/1985,Adventure,PG,Bill L. Norton,1985,3,22,NO,"$33,900,697 "
289,The Fox and the Hound,7/10/1981,Comedy,G,Art Stevens,1981,7,10,NO,"$133,118,889 "
290,High Heels and Low Lifes,10/26/2001,Action,R,Mel Smith,2001,10,26,NO,"$337,782 "
291,The Tie That Binds,9/8/1995,Thriller/Suspense,R,Wesley Strick,1995,9,8,NO,"$11,167,895 "
292,John Carter,3/9/2012,Adventure,PG-13,Andrew Stanton,2012,3,9,NO,"$77,372,445 "
293,Blank Check,2/11/1994,Comedy,PG,Rupert Wainwright,1994,2,11,NO,"$63,170,804 "
294,Guardians of the Galaxy,8/1/2014,Adventure,PG-13,James Gunn,2014,8,1,NO,"$343,771,168 "
295,Star Wars Ep. VII: The Force Awakens,12/18/2015,Adventure,PG-13,Unknown,2015,12,18,NO,"$936,662,225 "
296,A Goofy Movie,4/7/1995,Comedy,G,Kevin Lima,1995,4,7,NO,"$68,479,579 "
297,Hocus Pocus,7/16/1993,Comedy,PG,NO_DIRECTOR,1993,7,16,YES,"$80,147,079 "
298,Pete’s Dragon,8/12/2016,Adventure,PG,NO_DIRECTOR,2016,8,12,NO,"$76,233,151 "
299,Night Crossing,2/5/1982,Drama,PG,Delbert Mann,1982,2,5,NO,"$12,903,059 "
300,Lilo & Stitch,6/21/2002,Adventure,PG,Chris Sanders,2002,6,21,NO,"$211,506,702 "
301,Metro,1/17/1997,Action,R,Thomas Carter,1997,1,17,NO,"$58,804,106 "
302,National Treasure,11/19/2004,Adventure,PG,Jon Turteltaub,2004,11,19,NO,"$234,069,353 "
303,Shanghai Noon,5/26/2000,Western,PG-13,Tom Dey,2000,5,26,NO,"$89,042,541 "
304,Dangerous Minds,8/11/1995,Drama,R,John N. Smith,1995,8,11,YES,"$164,552,293 "
305,The Distinguished Gentleman,12/4/1992,Comedy,R,Jonathan Lynn,1992,12,4,NO,"$94,349,900 "
306,The Secret World of Arietty,2/17/2012,Adventure,G,NO_DIRECTOR,2012,2,17,NO,"$20,325,733 "
307,The Princess Diaries,8/3/2001,Comedy,G,Garry Marshall,2001,8,3,YES,"$161,218,928 "
308,Step Up 3D,8/6/2010,Drama,PG-13,Jon M. Chu,2010,8,6,NO,"$45,302,137 "
309,Underdog,8/3/2007,Adventure,PG,NO_DIRECTOR,2007,8,3,NO,"$53,619,462 "
310,Red Rock West,1/28/1994,Crime,R,John Dahl,1994,1,28,NO,"$5,170,709 "
311,Captain America: Civil War,5/6/2016,Action,PG-13,Anthony Russo,2016,5,6,YES,"$408,084,349 "
312,Mr. Wrong,2/16/1996,Romantic Comedy,PG-13,NO_DIRECTOR,1996,2,16,NO,"$24,422,334 "
313,Nixon,12/20/1995,Drama,R,Oliver Stone,1995,12,20,NO,"$26,302,005 "
314,The Ref,3/9/1994,Comedy,R,Ted Demme,1994,3,9,YES,"$23,401,275 "
315,The Santa Clause 3: The Escape Clause,11/3/2006,Comedy,G,Michael Lembeck,2006,11,3,NO,"$108,694,869 "
316,Ice Princess,3/18/2005,Comedy,G,Tim Fywell,2005,3,18,NO,"$32,064,685 "
317,King Arthur,7/7/2004,Adventure,PG-13,NO_DIRECTOR,2004,7,7,NO,"$70,423,706 "
318,Nothing To Lose,7/18/1997,Comedy,R,Steve Oedekerk,1997,7,18,NO,"$81,692,095 "
319,Herbie: Fully Loaded,6/22/2005,Comedy,G,Angela Robinson,2005,6,22,NO,"$86,812,798 "
320,Father of the Bride,12/20/1991,Comedy,PG,NO_DIRECTOR,1991,12,20,YES,"$179,821,881 "
321,You Again,9/24/2010,Comedy,PG,Andy Fickman,2010,9,24,NO,"$27,461,121 "
322,Treasure Planet,11/27/2002,Adventure,PG,Ron Clements,2002,11,27,NO,"$55,189,145 "
323,The Great Mouse Detective,7/2/1986,Adventure,G,Ron Clements,1986,7,2,YES,"$53,637,367 "
324,Cinderella,3/13/2015,Drama,PG,Wilfred Jackson,2015,3,13,NO,"$201,151,353 "
325,Frozen,11/22/2013,Adventure,PG,Chris Buck,2013,11,22,NO,"$414,997,174 "
326,Pirates of the Caribbean: On Stranger…,5/20/2011,Adventure,PG-13,Rob Marshall,2011,5,20,NO,"$256,263,359 "
327,Zokkomon,4/22/2011,Adventure,PG,Satyajit Bhatkal,2011,4,22,NO,"$2,984 "
328,Gross Anatomy,10/20/1989,Drama,PG-13,Thom Eberhardt,1989,10,20,NO,"$23,972,012 "
329,The Incredibles,11/5/2004,Adventure,PG,Brad Bird,2004,11,5,NO,"$354,488,708 "
330,Frank McKlusky C.I.,1/1/2002,Action,PG-13,Arlene Sanford,2002,1,1,NO,$0 
331,Taking Care of Business,8/17/1990,Comedy,R,Arthur Hiller,1990,8,17,NO,"$39,963,460 "
332,Tim Burton's The Nightmare Before Chr…,10/20/2006,Musical,PG,NO_DIRECTOR,2006,10,20,NO,"$30,737,517 "
333,Cocktail,7/29/1988,Drama,R,Roger Donaldson,1988,7,29,NO,"$160,442,289 "
334,Gun Shy,2/4/2000,Comedy,R,NO_DIRECTOR,2000,2,4,NO,"$2,562,155 "
335,Mr. Destiny,10/12/1990,Comedy,PG-13,James Orr,1990,10,12,NO,"$30,722,056 "
336,Herbie Goes to Monte Carlo,6/24/1977,Romance,G,Vincent McEveety,1977,6,24,NO,"$105,847,527 "
337,Evita,12/25/1996,Musical,PG,Alan Parker,1996,12,25,NO,"$92,077,628 "
338,Dark Water,7/8/2005,Thriller/Suspense,PG-13,Walter Salles,2005,7,8,NO,"$33,500,491 "
339,Piglet's Big Movie,3/21/2003,Comedy,G,Francis Glebas,2003,3,21,YES,"$32,298,812 "
340,Kazaam,7/17/1996,Comedy,PG,Paul Michael Glaser,1996,7,17,NO,"$36,009,655 "
341,Déjà Vu,11/22/2006,Thriller/Suspense,PG-13,Tony Scott,2006,11,22,NO,"$82,267,038 "
342,Waking Sleeping Beauty,3/26/2010,Documentary,PG,Don Hahn,2010,3,26,NO,"$86,264 "
343,The Count of Monte Cristo,1/25/2002,Drama,PG-13,Kevin Reynolds,2002,1,25,YES,"$78,682,079 "
344,The Program,9/24/1993,Action,R,Stephen Frears,1993,9,24,NO,"$46,919,256 "
345,When in Rome,1/29/2010,Romantic Comedy,PG-13,Mark Steven Johnson,2010,1,29,NO,"$34,917,330 "
346,Born Yesterday,3/26/1993,Romantic Comedy,PG,NO_DIRECTOR,1993,3,26,NO,"$36,165,012 "
347,The Alamo,4/9/2004,Western,PG-13,NO_DIRECTOR,2004,4,9,NO,"$30,416,359 "
348,Mad Love,5/26/1995,Drama,PG-13,NO_DIRECTOR,1995,5,26,NO,"$29,934,306 "
349,Armageddon,7/1/1998,Adventure,PG-13,Michael Bay,1998,7,1,YES,"$362,324,957 "
350,Air Bud,8/1/1997,Comedy,PG,Charles Martin Smith,1997,8,1,NO,"$45,266,588 "
351,Fire Birds,5/24/1990,Action,PG-13,David Green,1990,5,24,NO,"$29,485,923 "
352,The Black Cauldron,7/24/1985,Adventure,PG,Ted Berman,1985,7,24,NO,"$50,553,142 "
353,Oz the Great and Powerful,3/8/2013,Adventure,PG,Sam Raimi,2013,3,8,NO,"$243,434,130 "
354,Two Much,3/15/1996,Romantic Comedy,PG-13,Fernando Trueba,1996,3,15,NO,"$2,057,055 "
355,102 Dalmatians,11/22/2000,Comedy,G,Kevin Lima,2000,11,22,NO,"$104,055,039 "
356,The Pacifier,3/4/2005,Comedy,PG,Adam Shankman,2005,3,4,NO,"$148,619,029 "
357,Prom,4/29/2011,Comedy,PG,NO_DIRECTOR,2011,4,29,NO,"$10,768,946 "
358,Un indien dans la ville,3/22/1996,Comedy,PG,NO_DIRECTOR,1996,3,22,NO,"$1,963,937 "
359,Annapolis,1/27/2006,Drama,PG-13,Justin Lin,2006,1,27,YES,"$22,044,113 "
360,The Country Bears,7/26/2002,Adventure,G,Peter Hastings,2002,7,26,NO,"$24,650,121 "
361,Planes: Fire and Rescue,7/18/2014,Adventure,PG,Roberts Gannaway,2014,7,18,NO,"$61,040,349 "
362,Tin Men,3/6/1987,Comedy,R,Barry Levinson,1987,3,6,NO,"$54,787,202 "
363,Renaissance Man,6/3/1994,Comedy,PG-13,Penny Marshall,1994,6,3,YES,"$49,945,474 "
364,Playing God,10/17/1997,Thriller/Suspense,R,NO_DIRECTOR,1997,10,17,NO,"$7,652,965 "
365,Phenomenon,7/5/1996,Drama,PG,NO_DIRECTOR,1996,7,5,NO,"$199,559,799 "
366,Gnomeo and Juliet,2/11/2011,Comedy,G,Kelly Asbury,2011,2,11,NO,"$106,270,797 "
367,The Color of Money,10/17/1986,Drama,R,Martin Scorsese,1986,10,17,NO,"$117,957,323 "
368,Blackbeard's Ghost,2/8/2068,Comedy,G,Robert Stevenson,1968,2,8,YES,"$138,612,686 "
369,Ernest Scared Stupid,10/11/1991,Comedy,PG,John R. Cherry III,1991,10,11,NO,"$28,320,147 "
370,The Emperor's New Groove,12/15/2000,Adventure,G,Mark Dindal,2000,12,15,YES,"$136,789,252 "
371,Double Take,1/12/2001,Action,PG-13,George Gallo,2001,1,12,NO,"$44,418,589 "
372,Rocket Man,10/10/1997,Comedy,PG,Oscar Rudolph,1997,10,10,NO,"$28,371,890 "
373,Mulan,6/19/1998,Adventure,G,Barry Cook,1998,6,19,YES,"$216,807,832 "
374,Song of the South,11/12/2046,Adventure,G,Wilfred Jackson,1946,11,12,NO,"$1,078,510,579 "
375,The Black Hole,12/21/1979,Adventure,PG,Gary Nelson,1979,12,21,YES,"$120,377,374 "
376,Raising Helen,5/28/2004,Comedy,PG-13,Garry Marshall,2004,5,28,NO,"$50,886,144 "
377,A Gun in Betty Lou's Handbag,8/21/1992,Comedy,PG-13,Allan Moyle,1992,8,21,YES,"$7,295,423 "
378,The Air Up There,1/7/1994,Comedy,PG,Paul Michael Glaser,1994,1,7,NO,"$42,940,186 "
379,Roommates,3/3/1995,Comedy,PG,NO_DIRECTOR,1995,3,3,NO,"$23,404,369 "
380,Morning Light,10/17/2008,Documentary,PG,Mark Monroe,2008,10,17,NO,"$322,979 "
381,Valiant,8/19/2005,Adventure,G,Gary Chapman,2005,8,19,NO,"$25,616,292 "
382,Down and Out in Beverly Hills,1/31/1986,Comedy,R,Paul Mazursky,1986,1,31,NO,"$141,183,693 "
383,Tarzan,6/16/1999,Adventure,G,Chris Buck,1999,6,16,NO,"$283,900,254 "
384,The Royal Tenenbaums,12/14/2001,Black Comedy,R,Wes Anderson,2001,12,14,NO,"$76,758,193 "
385,James and the Giant Peach,4/12/1996,Adventure,PG,Henry Selick,1996,4,12,NO,"$55,159,783 "
386,"Mystery, Alaska",10/1/1999,Comedy,R,Jay Roach,1999,10,1,NO,"$14,755,189 "
387,Last Dance,5/3/1996,Drama,R,NO_DIRECTOR,1996,5,3,YES,"$11,171,714 "
388,My Science Project,8/9/1985,Comedy,PG,Jonathan R. Betuel,1985,8,9,,"$9,736,051 "
389,Homeward Bound II: Lost in San Franc…,3/8/1996,Adventure,G,David R. Ellis,1996,3,8,,"$62,384,706 "
390,The Muppets,11/23/2011,Comedy,PG,James Bobin,2011,11,23,,"$94,189,503 "
391,Turner & Hooch,7/28/1989,Comedy,PG,NO_DIRECTOR,1989,7,28,,"$150,176,361 "
392,Oceans,4/22/2010,Documentary,G,NO_DIRECTOR,2010,4,22,,"$20,751,600 "
393,It's Pat,8/26/1994,Comedy,PG-13,Adam Bernstein,1994,8,26,,"$125,666 "
394,The Finest Hours,1/29/2016,Thriller/Suspense,PG,Craig Gillespie,2016,1,29,,"$27,569,558 "
395,Shoot to Kill,2/12/1988,Action,R,Roger Spottiswoode,1988,2,12,,"$60,097,074 "
396,Hannah Montana the Movie,4/10/2009,Drama,G,Peter Chelsom,2009,4,10,,"$89,443,640 "
397,First Kid,8/30/1996,Comedy,PG,David M. Evans,1996,8,30,,"$50,465,108 "
398,Consenting Adults,10/16/1992,Drama,R,Alan J. Pakula,1992,10,16,,"$43,859,823 "
399,Dan in Real Life,10/20/2007,Romantic Comedy,PG-13,Peter Hedges,2007,10,20,,"$58,350,234 "
400,Sorority Boys,3/22/2002,Comedy,R,Wallace Wolodarsky,2002,3,22,,"$14,797,862 "
401,Simon Birch,9/11/1998,Drama,PG,Mark Steven Johnson,1998,9,11,,"$32,809,442 "
402,In the Army Now,8/12/1994,Comedy,PG,Daniel Petrie Jr.,1994,8,12,,"$59,673,787 "
403,Bad Company,6/7/2002,Action,PG-13,Joel Schumacher,2002,6,7,,"$43,756,218 "
404,Wreck-It Ralph,11/2/2012,Adventure,PG,Rich Moore,2012,11,2,,"$200,354,959 "
405,Iron Man 3,5/3/2013,Action,PG-13,Shane Black,2013,5,3,,"$424,084,233 "
406,Cinderella,2/15/2050,Drama,G,Wilfred Jackson,1950,2,15,,"$920,608,730 "
407,One Magic Christmas,11/22/1985,Drama,G,Phillip Borsos,1985,11,22,,"$31,415,432 "
408,Beverly Hills Chihuahua,10/3/2008,Comedy,PG,Raja Gosnell,2008,10,3,,"$110,932,022 "
409,WALL-E,6/27/2008,Adventure,G,Andrew Stanton,2008,6,27,,"$262,771,918 "
410,Aladdin,11/11/1992,Comedy,G,Ron Clements,1992,11,11,,"$441,969,178 "
411,Casanova,12/25/2005,Drama,R,Lasse Hallström,2005,12,25,,"$14,574,087 "
412,Thor: The Dark World,11/8/2013,Adventure,PG-13,Alan Taylor,2013,11,8,,"$213,962,184 "
413,Monkey Kingdom,4/17/2015,Documentary,G,Alastair Fothergill,2015,4,17,,"$16,432,322 "
414,Ernest Saves Christmas,11/11/1988,Comedy,PG,John R. Cherry III,1988,11,11,,"$57,845,202 "
415,Hannah Montana/Miley Cyrus: Best of B…,2/1/2008,Concert/Performance,G,NO_DIRECTOR,2008,2,1,,"$76,646,993 "
416,Saving Mr. Banks,12/13/2013,Drama,PG-13,John Lee Hancock,2013,12,13,,"$86,249,969 "
417,The Aristocats,4/24/2070,Musical,G,Wolfgang Reitherman,1970,4,24,,"$255,161,499 "
418,Calendar Girls,12/19/2003,Comedy,PG-13,Nigel Cole,2003,12,19,,"$42,379,650 "
419,Unstrung Heroes,9/15/1995,Drama,PG,Diane Keaton,1995,9,15,,"$15,365,850 "
420,Three Fugitives,1/27/1989,Comedy,PG-13,Francis Veber,1989,1,27,,"$85,757,817 "
421,Tomorrowland,5/22/2015,Adventure,PG,Brad Bird,2015,5,22,,"$93,436,322 "
422,The Village,7/30/2004,Thriller/Suspense,PG-13,M. Night Shyamalan,2004,7,30,,"$155,021,748 "
423,"Alexander and the Terrible, Horrible,…",10/10/2014,Comedy,PG,Miguel Arteta,2014,10,10,,"$69,055,550 "
424,Arachnophobia,7/18/1990,Thriller/Suspense,PG-13,Frank Marshall,1990,7,18,,"$106,290,270 "
425,Lincoln,11/9/2012,Drama,PG-13,NO_DIRECTOR,2012,11,9,,"$192,122,330 "
426,The Horse Whisperer,5/15/1998,Drama,PG-13,Robert Redford,1998,5,15,,"$135,497,531 "
427,Muppets Most Wanted,3/21/2014,Comedy,PG,James Bobin,2014,3,21,,"$52,807,594 "
428,Fantasia 2000 (IMAX),1/1/2000,Musical,G,Unknown,2000,1,1,,"$94,852,354 "
429,Spaced Invaders,4/27/1990,Comedy,PG,Patrick Read Johnson,1990,4,27,,"$29,964,452 "
430,Just Visiting,4/6/2001,Comedy,PG-13,Jean-Marie Poiré,2001,4,6,,"$7,114,869 "
431,Holes,4/18/2003,Drama,PG,Andrew Davis,2003,4,18,,"$94,203,395 "
432,The Last Shot,9/24/2004,Comedy,R,NO_DIRECTOR,2004,9,24,,"$629,502 "
433,The Jungle Book,10/18/2067,Musical,Not Rated,NO_DIRECTOR,1967,10,18,,"$789,612,346 "
434,Meet the Robinsons,3/30/2007,Adventure,G,Stephen J. Anderson,2007,3,30,,"$119,860,589 "
435,Dead Poets Society,6/2/1989,Drama,PG,Peter Weir,1989,6,2,,"$202,531,517 "
436,Avengers: Age of Ultron,5/1/2015,Action,PG-13,Joss Whedon,2015,5,1,,"$459,005,868 "
437,Man of the House,3/3/1995,Comedy,PG,NO_DIRECTOR,1995,3,3,,"$77,573,459 "
438,Bears,4/18/2014,Documentary,G,NO_DIRECTOR,2014,4,18,,"$18,346,024 "
439,Passed Away,4/24/1992,Comedy,PG-13,Charlie Peters,1992,4,24,,"$8,187,848 "
440,ESPN's Ultimate X - The Movie,5/10/2002,Documentary,PG,Unknown,2002,5,10,,"$6,089,874 "
441,Atlantis: The Lost Empire,6/8/2001,Adventure,PG,Gary Trousdale,2001,6,8,,"$125,188,122 "
442,Ernest Goes to Camp,5/22/1987,Comedy,PG,John R. Cherry III,1987,5,22,,"$50,686,462 "
443,Teacher's Pet: The Movie,1/16/2004,Comedy,PG,Unknown,2004,1,16,,"$8,812,764 "
444,Spy Hard,5/24/1996,Comedy,PG-13,Rick Friedberg,1996,5,24,,"$51,373,912 "
445,Snow Dogs,1/18/2002,Comedy,PG,Brian Levant,2002,1,18,,"$117,745,317 "
446,Frankenweenie,10/5/2012,Comedy,PG,Tim Burton,2012,10,5,,"$37,363,513 "
447,Tuck Everlasting,10/11/2002,Drama,PG,Jay Russell,2002,10,11,,"$27,789,959 "
448,Hauru no ugoku shiro,6/10/2005,Adventure,PG,Hayao Miyazaki,2005,6,10,,"$6,194,870 "
449,Gedo Senki (Tales from Earthsea),8/13/2010,Adventure,PG-13,NO_DIRECTOR,2010,8,13,,"$51,988 "
450,Return to Oz,6/21/1985,Adventure,G,Walter Murch,1985,6,21,,"$25,215,934 "
451,Disney's A Christmas Carol,11/6/2009,Drama,PG,Robert Zemeckis,2009,11,6,,"$154,927,105 "
452,Prefontaine,1/24/1997,Drama,PG-13,Steve James,1997,1,24,,"$1,085,093 "
453,Beaches,12/21/1988,Drama,PG-13,Garry Marshall,1988,12,21,,"$120,381,757 "
454,101 Dalmatians,1/25/2061,Comedy,G,NO_DIRECTOR,1961,1,25,,"$1,362,870,985 "
455,The Last Song,3/31/2010,Drama,PG,Julie Anne Robinson,2010,3,31,,"$67,258,772 "
456,Father Hood,8/27/1993,Action,PG-13,Darrell James Roodt,1993,8,27,,"$6,654,819 "
457,Encino Man,5/22/1992,Comedy,PG,Les Mayfield,1992,5,22,,"$40,000,000 "
458,Sweet Home Alabama,9/27/2002,Comedy,PG-13,Andy Tennant,2002,9,27,,"$184,521,151 "
459,Play it to the Bone,12/24/1999,Comedy,R,Ron Shelton,1999,12,24,,"$13,180,524 "
460,The Odd Life of Timothy Green,8/15/2012,Drama,PG,Peter Hedges,2012,8,15,,"$54,914,942 "
461,Honey I Blew Up the Kid,7/17/1992,Comedy,PG,Randal Kleiser,1992,7,17,,"$119,162,518 "
462,Hercules,6/13/1997,Adventure,G,Ron Clements,1997,6,13,,"$182,029,412 "
