movie_title,release_date,genre,MPAA_rating,directors,revenue
G-Force,24-Jul-09,Adventure,PG,Hoyt Yeatman,"$134,246,932 "
Feast of July,13-Oct-95,Drama,R,Christopher Menaul,"$568,342 "
The Lookout,30-Mar-07,Drama,R,Scott Frank,"$5,637,048 "
Cool Runnings,1-Oct-93,Comedy,PG,Jon Turteltaub,"$140,392,731 "
Alice Through the Looking Glass,27-May-16,Adventure,PG,James Bobin,"$77,042,381 "
The Devil and Max Devlin,1-Jan-81,Fantasy,PG,Steven Hilliard Stern,"$48,517,980 "
The Chronicles of Narnia: Prince Caspian,16-May-08,Adventure,PG,Andrew Adamson,"$166,277,038 "
The Insider,5-Nov-99,Drama,R,Michael Mann,"$47,794,214 "
Camp Nowhere,26-Aug-94,Comedy,PG,Jonathan Prince,"$21,576,332 "
The Rock,7-Jun-96,Action,R,Michael Bay,"$255,702,705 "
Green Card,25-Dec-90,Romantic Comedy,PG-13,Peter Weir,"$59,679,131 "
Real Steel,7-Oct-11,Action,PG-13,Shawn Levy,"$90,848,019 "
A Kid in King Arthur's Court,11-Aug-95,Adventure,PG,Michael Gottlieb,"$25,981,285 "
The Last Flight of Noah’s Ark,25-Jun-80,Adventure,G,Charles Jarrott,"$34,472,116 "
African Cats,22-Apr-11,Documentary,G,Alastair Fothergill,"$16,401,551 "
Toy Story 3D Double Feature,2-Oct-09,Adventure,G,Unknown,"$34,509,545 "
Into the Woods,25-Dec-14,Musical,PG,Rob Marshall,"$130,894,237 "
Finding Nemo,30-May-03,Adventure,G,Andrew Stanton,"$518,148,559 "
The Good Mother,4-Nov-88,Drama,PG,Steve Antin,"$9,772,655 "
The Hundred-Foot Journey,8-Aug-14,Romantic Comedy,PG,Lasse Hallström,"$55,961,409 "
Pearl Harbor,25-May-01,Action,PG-13,Michael Bay,"$295,705,112 "
Pirates of the Caribbean: At World’…,24-May-07,Adventure,PG-13,Gore Verbinski,"$379,129,960 "
Color of Night,19-Aug-94,Thriller/Suspense,R,Richard Rush,"$40,804,816 "
Romy and Michele's High School Reunion,25-Apr-97,Comedy,R,David Mirkin,"$53,693,680 "
Cheetah,18-Aug-89,Adventure,TV-G,Oz Scott,"$16,653,473 "
Jack,9-Aug-96,Drama,PG-13,Christopher McQuarrie,"$111,792,852 "
Monsters University,21-Jun-13,Adventure,G,Dan Scanlon,"$278,395,641 "
The Fifth Estate,18-Oct-13,Drama,R,Bill Condon,"$3,374,251 "
Before and After,23-Feb-96,Drama,PG-13,Barbet Schroeder,"$16,482,589 "
Moonlight Mile,27-Sep-02,Drama,PG-13,Brad Silberling,"$9,909,094 "
A Stranger Among Us,17-Jul-92,Drama,PG-13,Sidney Lumet,"$24,950,752 "
The Lizzie McGuire Movie,2-May-03,Comedy,PG,Jim Fall,"$59,743,191 "
Krippendorf's Tribe,27-Feb-98,Comedy,PG-13,Todd Holland,"$13,608,633 "
crazy/beautiful,29-Jun-01,Drama,PG-13,John Stockwell,"$25,214,223 "
Adventures in Babysitting,3-Jul-87,Comedy,PG-13,John Schultz,"$72,853,569 "
The Game Plan,22-Sep-07,Comedy,PG,Andy Fickman,"$111,010,758 "
Splash,9-Mar-84,Comedy,PG,Ron Howard,"$157,057,661 "
Who Framed Roger Rabbit?,22-Jun-88,Comedy,PG,Robert Zemeckis,"$316,250,084 "
The Light Between Oceans,2-Sep-16,Drama,PG-13,Derek Cianfrance,"$12,545,979 "
The Guardian,29-Sep-06,Action,PG-13,Andrew Davis,"$70,801,353 "
The Sword in the Stone,25-Dec-63,Adventure,G,Wolfgang Reitherman,"$153,870,834 "
Mr. Holland's Opus,29-Dec-95,Drama,PG,Stephen Herek,"$157,508,868 "
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,"$55,796,728 "
The Preacher's Wife,13-Dec-96,Drama,PG,Penny Marshall,"$91,076,877 "
Sarafina!,18-Sep-92,Drama,PG-13,Darrell James Roodt,"$14,841,352 "
Trenchcoat,11-Mar-83,Comedy,PG,Michael Tuchner,"$11,519,089 "
Confessions of a Teenage Drama Queen,20-Feb-04,Comedy,PG,Sara Sugarman,"$39,816,568 "
Around the World in 80 Days,16-Jun-04,Adventure,PG,Frank Coraci,"$32,585,356 "
Blaze,13-Dec-89,Drama,R,Ethan Hawke,"$39,884,640 "
Toy Story,22-Nov-95,Adventure,G,John Lasseter,"$370,409,631 "
Prince of Persia: Sands of Time,28-May-10,Action,PG-13,Mike Newell,"$96,971,361 "
Eddie,31-May-96,Comedy,PG-13,Dexter Fletcher,"$59,828,966 "
White Fang 2: Myth of the White Wolf,15-Apr-94,Adventure,PG,Ken Olin,"$18,083,994 "
White Squall,2-Feb-96,Adventure,PG-13,Ridley Scott,"$19,509,726 "
The Invisible,27-Apr-07,Thriller/Suspense,PG-13,Leigh Whannell,"$25,202,168 "
Guilty as Sin,4-Jun-93,Thriller/Suspense,R,Sidney Lumet,"$46,064,723 "
Operation Dumbo Drop,28-Jul-95,Adventure,PG,Simon Wincer,"$47,809,421 "
Ghosts of the Abyss,11-Apr-03,Documentary,G,James Cameron,"$23,803,108 "
Scenes from a Mall,22-Feb-91,Comedy,R,Paul Mazursky,"$19,149,495 "
The BFG,1-Jul-16,Adventure,PG,Steven Spielberg,"$55,483,770 "
Tron,9-Jul-82,Action,PG,Joseph Kosinski,"$77,184,895 "
Firelight,4-Sep-98,Drama,R,William Nicholson,"$1,409,943 "
Delivery Man,22-Nov-13,Comedy,PG-13,Ken Scott,"$31,787,136 "
New York Stories,1-Mar-89,Drama,PG,Francis Ford Coppola,"$22,740,861 "
Disorganized Crime,14-Apr-89,Comedy,R,Jim Kouf,"$15,233,465 "
